Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
5/7/2019,5/11/2019,Mountain 2,123.47,1547
5/7/2019,5/11/2019,Mountain 3,221.98,3124
5/8/2019,5/11/2019,Mountain 1,234.40,2261
5/8/2019,5/11/2019,Mountain 2,137.60,1826
5/8/2019,5/11/2019,Mountain 3,259.73,3808
5/9/2019,5/11/2019,Mountain 1,237.87,2184
5/9/2019,5/11/2019,Mountain 2,142.41,1836
5/9/2019,5/11/2019,Mountain 3,273.47,3815
5/10/2019,5/11/2019,Mountain 1,238.61,2222
5/10/2019,5/11/2019,Mountain 2,135.38,1782
5/10/2019,5/11/2019,Mountain 3,259.21,3789
5/11/2019,5/11/2019,Mountain 1,28.02,106
5/11/2019,5/11/2019,Mountain 2,0.00,0
5/11/2019,5/11/2019,Mountain 3,19.62,120
5/12/2019,5/18/2019,Mountain 1,0.00,0
5/12/2019,5/18/2019,Mountain 2,0.00,0
5/12/2019,5/18/2019,Mountain 3,0.00,0
5/13/2019,5/18/2019,Mountain 1,234.70,2151
5/13/2019,5/18/2019,Mountain 2,131.05,1674
5/13/2019,5/18/2019,Mountain 3,245.68,3347
5/14/2019,5/18/2019,Mountain 1,223.53,2152
5/14/2019,5/18/2019,Mountain 2,119.00,1574
5/14/2019,5/18/2019,Mountain 3,214.17,3061
5/15/2019,5/18/2019,Mountain 1,224.84,2145
5/15/2019,5/18/2019,Mountain 2,125.37,1725
5/15/2019,5/18/2019,Mountain 3,247.97,3508
5/16/2019,5/18/2019,Mountain 1,235.98,2264
5/16/2019,5/18/2019,Mountain 2,126.85,1711
5/16/2019,5/18/2019,Mountain 3,242.89,3591
5/17/2019,5/18/2019,Mountain 1,229.08,2157
5/17/2019,5/18/2019,Mountain 2,128.88,1639
5/17/2019,5/18/2019,Mountain 3,228.13,3365
5/18/2019,5/18/2019,Mountain 1,27.38,83
5/18/2019,5/18/2019,Mountain 2,0.00,0
5/18/2019,5/18/2019,Mountain 3,20.17,69
5/19/2019,5/25/2019,Mountain 1,0.00,0
5/19/2019,5/25/2019,Mountain 2,0.00,0
5/19/2019,5/25/2019,Mountain 3,0.00,0
5/20/2019,5/25/2019,Mountain 1,232.02,2098
5/20/2019,5/25/2019,Mountain 2,134.63,1662
5/20/2019,5/25/2019,Mountain 3,226.08,3243
5/21/2019,5/25/2019,Mountain 1,218.50,2196
5/21/2019,5/25/2019,Mountain 2,136.26,1671
5/21/2019,5/25/2019,Mountain 3,164.38,1969
5/22/2019,5/25/2019,Mountain 1,246.71,2329
5/22/2019,5/25/2019,Mountain 2,142.00,1791
5/22/2019,5/25/2019,Mountain 3,296.92,4495
5/23/2019,5/25/2019,Mountain 1,244.19,2295
5/23/2019,5/25/2019,Mountain 2,142.95,1886
5/23/2019,5/25/2019,Mountain 3,254.30,3827
5/24/2019,5/25/2019,Mountain 1,234.96,2218
5/24/2019,5/25/2019,Mountain 2,134.78,1656
5/24/2019,5/25/2019,Mountain 3,250.59,3584
5/25/2019,5/25/2019,Mountain 1,22.36,51
5/25/2019,5/25/2019,Mountain 2,0.00,0
5/25/2019,5/25/2019,Mountain 3,15.34,56
5/26/2019,6/1/2019,Mountain 1,0.00,0
5/26/2019,6/1/2019,Mountain 2,0.00,0
5/26/2019,6/1/2019,Mountain 3,0.00,0
5/27/2019,6/1/2019,Mountain 1,0.00,0
5/27/2019,6/1/2019,Mountain 2,0.00,0
5/27/2019,6/1/2019,Mountain 3,0.00,0
5/28/2019,6/1/2019,Mountain 1,218.68,2055
5/28/2019,6/1/2019,Mountain 2,129.12,1596
